c,curve,x,y
1.0,roc,0.0,0.0
1.0,roc,0.1291,0.1076
1.0,roc,0.1422,0.1474
1.0,roc,0.1553,0.1804
1.0,roc,0.1679,0.21
1.0,roc,0.1824,0.2412
1.0,roc,0.1973,0.2679
1.0,roc,0.2119,0.2934
1.0,roc,0.2274,0.3181
1.0,roc,0.2438,0.3441
1.0,roc,0.2617,0.3722
1.0,roc,0.2795,0.3993
1.0,roc,0.2978,0.4223
1.0,roc,0.318,0.4459
1.0,roc,0.3384,0.4716
1.0,roc,0.358,0.497
1.0,roc,0.378,0.5224
1.0,roc,0.3984,0.5471
1.0,roc,0.4182,0.5701
1.0,roc,0.4388,0.5933
1.0,roc,0.4594,0.6168
1.0,roc,0.4828,0.6398
1.0,roc,0.5037,0.661
1.0,roc,0.5272,0.6819
1.0,roc,0.5531,0.7038
1.0,roc,0.5764,0.7247
1.0,roc,0.5995,0.7443
1.0,roc,0.6237,0.765
1.0,roc,0.6492,0.7858
1.0,roc,0.6754,0.8072
1.0,roc,0.7013,0.8275
1.0,roc,0.7307,0.8491
1.0,roc,0.7568,0.8693
1.0,roc,0.7855,0.8889
1.0,roc,0.8119,0.9085
1.0,roc,0.8465,0.9273
1.0,roc,0.881,0.9469
1.0,roc,0.9196,0.9649
1.0,roc,0.9567,0.9829
1.0,roc,1.0,1.0
1.0,pr,1.0,0.3414
1.0,pr,0.9882,0.3454
1.0,pr,0.9758,0.3494
1.0,pr,0.9622,0.3531
1.0,pr,0.9488,0.3571
1.0,pr,0.9342,0.3609
1.0,pr,0.9195,0.3647
1.0,pr,0.903,0.3681
1.0,pr,0.8841,0.3707
1.0,pr,0.8658,0.3737
1.0,pr,0.8464,0.3764
1.0,pr,0.8276,0.3795
1.0,pr,0.8078,0.3824
1.0,pr,0.7872,0.385
1.0,pr,0.7675,0.3883
1.0,pr,0.7468,0.3913
1.0,pr,0.7256,0.3942
1.0,pr,0.7041,0.3972
1.0,pr,0.6838,0.4012
1.0,pr,0.6623,0.4047
1.0,pr,0.6391,0.4074
1.0,pr,0.6161,0.4106
1.0,pr,0.5909,0.4125
1.0,pr,0.5661,0.4149
1.0,pr,0.5392,0.4159
1.0,pr,0.513,0.4176
1.0,pr,0.4851,0.4181
1.0,pr,0.459,0.4202
1.0,pr,0.4337,0.4235
1.0,pr,0.4062,0.4248
1.0,pr,0.3767,0.4241
1.0,pr,0.3471,0.4232
1.0,pr,0.3163,0.4204
1.0,pr,0.2853,0.4169
1.0,pr,0.2525,0.4098
1.0,pr,0.2181,0.398
1.0,pr,0.1805,0.376
1.0,pr,0.1417,0.3438
1.0,pr,0.0992,0.2883
1.0,pr,0.0,1.0
1.5,roc,0.0,0.0
1.5,roc,0.0941,0.1791
1.5,roc,0.0987,0.2134
1.5,roc,0.1045,0.2465
1.5,roc,0.1114,0.2806
1.5,roc,0.1173,0.3074
1.5,roc,0.1253,0.3342
1.5,roc,0.1322,0.3604
1.5,roc,0.1405,0.3829
1.5,roc,0.1493,0.4046
1.5,roc,0.1586,0.4297
1.5,roc,0.1667,0.4529
1.5,roc,0.1761,0.4751
1.5,roc,0.1875,0.4971
1.5,roc,0.1997,0.5188
1.5,roc,0.2114,0.5395
1.5,roc,0.2216,0.5613
1.5,roc,0.2342,0.5802
1.5,roc,0.2492,0.6012
1.5,roc,0.2648,0.6224
1.5,roc,0.2832,0.6426
1.5,roc,0.2989,0.6636
1.5,roc,0.3173,0.6848
1.5,roc,0.3389,0.704
