fold,P,model,segment,wape,share_y_le_forecast
F1,7,naive,low,0.7890031291908807,0.664983164983165
F1,7,naive,mid,0.523455710955711,0.5924092409240924
F1,7,naive,high,0.3754046650618411,0.57
F1,7,ma28,low,0.6580241427331777,0.648989898989899
F1,7,ma28,mid,0.44860868501457407,0.5882838283828383
F1,7,ma28,high,0.35072009514352737,0.5625
F1,7,snaive,low,1.0889584264640142,0.6414141414141414
F1,7,snaive,mid,0.7950174825174825,0.5775577557755776
F1,7,snaive,high,0.6427326305304225,0.6775
F1,10,naive,low,0.7272131147540983,0.6877104377104377
F1,10,naive,mid,0.4820251010423314,0.6394389438943895
F1,10,naive,high,0.3669804532917616,0.6375
F1,10,ma28,low,0.6169086662325702,0.6447811447811448
F1,10,ma28,mid,0.4147521822097783,0.599009900990099
F1,10,ma28,high,0.3314567511289908,0.5841666666666666
F1,10,snaive,low,1.0019672131147541,0.6380471380471381
F1,10,snaive,mid,0.7335673261008296,0.5891089108910891
F1,10,snaive,high,0.5928768437462526,0.6733333333333333
F1,14,naive,low,0.5814161268706723,0.6346801346801347
F1,14,naive,mid,0.40974212034383956,0.584983498349835
F1,14,naive,high,0.3166440288371121,0.5733333333333334
F1,14,ma28,low,0.5188742476048043,0.622895622895623
F1,14,ma28,mid,0.3771581834613353,0.5767326732673267
F1,14,ma28,high,0.30798244682639736,0.5533333333333333
F1,14,snaive,low,0.9131114585660041,0.6136363636363636
F1,14,snaive,mid,0.6737197854676364,0.5816831683168316
F1,14,snaive,high,0.5591474245115453,0.6758333333333333
F2,7,naive,low,0.844494382022472,0.6658249158249159
F2,7,naive,mid,0.5876821814762576,0.6113861386138614
F2,7,naive,high,0.41494097945513214,0.5566666666666666
F2,7,ma28,low,0.7413608008338495,0.6447811447811448
F2,7,ma28,mid,0.5199100913582383,0.6163366336633663
F2,7,ma28,high,0.3760160120248293,0.5691666666666667
F2,7,snaive,low,1.0458426966292136,0.6574074074074074
F2,7,snaive,mid,0.8235386303087291,0.6056105610561056
F2,7,snaive,high,0.6857819711636646,0.6441666666666667
F2,10,naive,low,0.7593739810890121,0.6801346801346801
F2,10,naive,mid,0.5328072153325817,0.6476897689768977
F2,10,naive,high,0.3894872773163502,0.6116666666666667
F2,10,ma28,low,0.6807774526723286,0.6262626262626263
F2,10,ma28,mid,0.4733508092583301,0.608085808580858
F2,10,ma28,high,0.3527134469391941,0.5941666666666666
F2,10,snaive,low,0.9510922725790675,0.6304713804713805
F2,10,snaive,mid,0.7576099210822999,0.5891089108910891
F2,10,snaive,high,0.6475214979602618,0.6433333333333333
F2,14,naive,low,0.65728439540644,0.6119528619528619
F2,14,naive,mid,0.44025009769441187,0.6064356435643564
F2,14,naive,high,0.3509460177352785,0.5433333333333333
F2,14,ma28,low,0.6032300043253044,0.6119528619528619
F2,14,ma28,mid,0.42236550773562004,0.5899339933993399
F2,14,ma28,high,0.3365866171221145,0.5541666666666667
F2,14,snaive,low,0.8829092546723711,0.6178451178451179
F2,14,snaive,mid,0.7125439624853458,0.5981848184818482
F2,14,snaive,high,0.6286216337705856,0.6541666666666667
F3,7,naive,low,0.8716528162511542,0.6632996632996633
F3,7,naive,mid,0.5829742980240677,0.5726072607260726
F3,7,naive,high,0.4057697374198648,0.5875
F3,7,ma28,low,0.7400738714419354,0.6254208754208754
F3,7,ma28,mid,0.4919031364780986,0.5462046204620462
F3,7,ma28,high,0.3658887336832618,0.555
F3,7,snaive,low,1.02539242843952,0.5959595959595959
F3,7,snaive,mid,0.8203833011439607,0.5503300330033003
F3,7,snaive,high,0.7966101694915254,0.6308333333333334
F3,10,naive,low,0.81468888133288,0.6759259259259259
F3,10,naive,mid,0.5000532992218314,0.5981848184818482
F3,10,naive,high,0.3900563974920445,0.6316666666666667
F3,10,ma28,low,0.6925244083902293,0.6161616161616161
F3,10,ma28,mid,0.4417287231678203,0.5313531353135313
F3,10,ma28,high,0.34826689220744483,0.57
F3,10,snaive,low,0.9561373682420945,0.5740740740740741
F3,10,snaive,mid,0.7451231212024304,0.5412541254125413
F3,10,snaive,high,0.7522921327073947,0.6283333333333333
F3,14,naive,low,0.6634527089072544,0.6127946127946128
F3,14,naive,mid,0.4214007496141692,0.5412541254125413
F3,14,naive,high,0.33770284418077123,0.5566666666666666
F3,14,ma28,low,0.6111111120997327,0.5968013468013468
F3,14,ma28,mid,0.39619313782264304,0.514026402640264
F3,14,ma28,high,0.3124345675352301,0.5441666666666667
F3,14,snaive,low,0.8702938475665748,0.5387205387205387
F3,14,snaive,mid,0.6895715440582053,0.5321782178217822
F3,14,snaive,high,0.7238701797243065,0.6341666666666667
F4,7,naive,low,0.7404270986745214,0.6178451178451179
F4,7,naive,mid,0.5049574081832147,0.5957095709570958
F4,7,naive,high,0.3671280276816609,0.5916666666666667
F4,7,ma28,low,0.6168998526121231,0.5749158249158249
F4,7,ma28,mid,0.4460270916997571,0.5478547854785478
F4,7,ma28,high,0.37561635065752896,0.5725
F4,7,snaive,low,0.9282032400589102,0.5462962962962963
F4,7,snaive,mid,0.7736349671833542,0.5528052805280528
F4,7,snaive,high,0.8207179930795848,0.5916666666666667
F4,10,naive,low,0.6443801000263227,0.6245791245791246
F4,10,naive,mid,0.4683583002140018,0.6386138613861386
F4,10,naive,high,0.3619966180246759,0.6416666666666667
F4,10,ma28,low,0.5370210192609254,0.5505050505050505
F4,10,ma28,mid,0.4183080758647757,0.570957095709571
F4,10,ma28,high,0.36256699028357897,0.5866666666666667
F4,10,snaive,low,0.8383785206633324,0.5176767676767676
F4,10,snaive,mid,0.7213899928666055,0.5412541254125413
F4,10,snaive,high,0.7866224087179808,0.5891666666666666
F4,14,naive,low,0.536620739666425,0.57996632996633
F4,14,naive,mid,0.3959077850185691,0.5825082508250825
F4,14,naive,high,0.33213403268455505,0.5808333333333333
F4,14,ma28,low,0.4978245094153784,0.5311447811447811
F4,14,ma28,mid,0.3804919085929434,0.5420792079207921
F4,14,ma28,high,0.34814036162456674,0.5583333333333333
F4,14,snaive,low,0.7632342277012327,0.4882154882154882
F4,14,snaive,mid,0.6729731623572279,0.5214521452145214
F4,14,snaive,high,0.7594607481902119,0.5833333333333334
