variant,cfg,arm,floor,sp_mean,sp_median,sp_excluded,wape_median,interval80,mase_median_fc,sp_0.1,sp_0.5,sp_0.8,sp_0.9,sp_0.95,sp_0.99,sp_low,sp_mid,sp_high,cov_hi_0.8,cov_lo_0.8,tie_0.8,zero_share_0.8,raw_cov_0.8,status_0.8,cov_hi_0.8_low,cov_lo_0.8_low,cov_hi_0.8_mid,cov_lo_0.8_mid,cov_hi_0.8_high,cov_lo_0.8_high,cov_hi_0.9,cov_lo_0.9,tie_0.9,zero_share_0.9,raw_cov_0.9,status_0.9,cov_hi_0.9_low,cov_lo_0.9_low,cov_hi_0.9_mid,cov_lo_0.9_mid,cov_hi_0.9_high,cov_lo_0.9_high,cov_hi_0.95,cov_lo_0.95,tie_0.95,zero_share_0.95,raw_cov_0.95,status_0.95,cov_hi_0.95_low,cov_lo_0.95_low,cov_hi_0.95_mid,cov_lo_0.95_mid,cov_hi_0.95_high,cov_lo_0.95_high,cov_hi_0.99,cov_lo_0.99,tie_0.99,zero_share_0.99,raw_cov_0.99,status_0.99,cov_hi_0.99_low,cov_lo_0.99_low,cov_hi_0.99_mid,cov_lo_0.99_mid,cov_hi_0.99_high,cov_lo_0.99_high,fold,P,n_fit,fit_seconds,n_rounds,hit_cap,crossing_share
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.21638,0.19391,2,0.36976,0.9075,0.79134,0.14063,0.39567,0.31894,0.2203,0.14556,0.07718,0.23027,0.21992,0.19902,0.88083,0.81694,0.06389,0.00056,0.8175,consistent,0.92088,0.84764,0.88449,0.80033,0.8375,0.80333,0.9425,0.91167,0.03083,0.0,0.91167,consistent,0.9697,0.92424,0.93564,0.90677,0.9225,0.90417,0.96806,0.955,0.01306,0.0,0.955,consistent,0.98485,0.97222,0.96452,0.94719,0.955,0.94583,0.99722,0.99667,0.00056,0.0,0.99667,consistent,0.99832,0.99747,0.99835,0.99752,0.995,0.995,F1,7,266571,240.9,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.21755,0.19273,2,0.34363,0.89444,0.77799,0.14283,0.38899,0.31376,0.21715,0.14748,0.0951,0.23102,0.22106,0.20064,0.87472,0.82167,0.05306,0.0,0.82167,consistent,0.9234,0.8468,0.86469,0.80693,0.83667,0.81167,0.9425,0.91944,0.02306,0.0,0.91944,consistent,0.96801,0.94024,0.94142,0.90924,0.91833,0.90917,0.96972,0.9625,0.00722,0.0,0.9625,consistent,0.98485,0.97896,0.96617,0.9571,0.95833,0.95167,0.99806,0.99722,0.00083,0.0,0.99722,consistent,0.99916,0.99747,0.99917,0.99835,0.99583,0.99583,F1,10,265671,263.1,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.23038,0.20535,2,0.31687,0.87417,0.8117,0.15442,0.40585,0.32892,0.22935,0.15387,0.10989,0.23433,0.24091,0.21573,0.86194,0.82778,0.03417,0.0,0.82778,consistent,0.90657,0.85101,0.84323,0.81601,0.83667,0.81667,0.93083,0.91083,0.02,0.0,0.91083,consistent,0.96296,0.93855,0.91667,0.89191,0.91333,0.9025,0.96389,0.95694,0.00694,0.0,0.95694,consistent,0.98485,0.97475,0.95132,0.94307,0.95583,0.95333,0.9975,0.99722,0.00028,0.0,0.99722,consistent,1.0,1.0,0.99752,0.9967,0.995,0.995,F1,14,264471,255.9,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.2409,0.19322,2,0.4011,0.90111,0.85007,0.1437,0.42503,0.35841,0.25629,0.17617,0.08581,0.24501,0.23902,0.23875,0.87,0.80917,0.06083,0.00083,0.81,consistent,0.90825,0.82071,0.86716,0.80363,0.835,0.80333,0.93417,0.89944,0.03472,0.0,0.89944,consistent,0.95875,0.91246,0.93812,0.89934,0.90583,0.88667,0.96417,0.95,0.01417,0.0,0.95,consistent,0.98148,0.96717,0.967,0.94967,0.94417,0.93333,0.99556,0.99556,0.0,0.0,0.99556,consistent,0.99916,0.99916,0.99422,0.99422,0.99333,0.99333,F2,7,291771,288.7,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.23681,0.18941,2,0.36784,0.88667,0.82126,0.14539,0.41063,0.34794,0.24801,0.17213,0.09675,0.24255,0.24062,0.22723,0.86111,0.81306,0.04806,0.00056,0.81361,consistent,0.91162,0.83418,0.85479,0.81271,0.8175,0.7925,0.92972,0.90194,0.02778,0.0,0.90194,consistent,0.9596,0.92508,0.93069,0.89521,0.89917,0.88583,0.96556,0.95194,0.01361,0.0,0.95194,consistent,0.98485,0.9697,0.96782,0.94884,0.94417,0.9375,0.99611,0.99556,0.00056,0.0,0.99556,consistent,0.99916,0.99832,0.99587,0.99505,0.99333,0.99333,F2,10,290871,295.8,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.25339,0.20025,2,0.35051,0.875,0.86742,0.1605,0.43371,0.3642,0.26199,0.18243,0.11753,0.2559,0.25593,0.24833,0.8575,0.81056,0.04694,0.00056,0.81111,consistent,0.90067,0.82744,0.85891,0.81271,0.81333,0.79167,0.92417,0.90306,0.02111,0.0,0.90306,consistent,0.95539,0.92929,0.93069,0.90924,0.88667,0.87083,0.95944,0.94944,0.01,0.0,0.94944,consistent,0.98569,0.97306,0.96122,0.9505,0.93167,0.925,0.99611,0.99556,0.00056,0.0,0.99556,consistent,0.99916,0.99832,0.9967,0.99587,0.9925,0.9925,F2,14,289671,297.8,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.23148,0.19723,1,0.40042,0.89778,0.85895,0.14679,0.42947,0.34996,0.2376,0.14986,0.07523,0.24114,0.23369,0.2198,0.85694,0.7925,0.06444,0.0,0.7925,consistent,0.91498,0.82997,0.84241,0.7698,0.81417,0.77833,0.92833,0.89167,0.03667,0.0,0.89167,consistent,0.9596,0.91414,0.91997,0.87706,0.90583,0.88417,0.96611,0.94444,0.02167,0.0,0.94444,consistent,0.98316,0.95623,0.96617,0.93812,0.94917,0.93917,0.9975,0.99667,0.00083,0.0,0.99667,consistent,0.99832,0.99747,0.99752,0.99587,0.99667,0.99667,F3,7,323271,331.0,999,False,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.23104,0.19799,1,0.36835,0.88083,0.8399,0.153,0.41995,0.34358,0.23178,0.14676,0.09118,0.23658,0.23514,0.22148,0.85222,0.79389,0.05833,0.00167,0.79556,consistent,0.90572,0.84091,0.83168,0.7698,0.82,0.77167,0.91611,0.88528,0.03083,0.00028,0.88556,consistent,0.95034,0.91246,0.90017,0.86304,0.89833,0.88083,0.96389,0.94722,0.01667,0.0,0.94722,consistent,0.98316,0.96044,0.95792,0.93729,0.95083,0.94417,0.99806,0.9975,0.00056,0.0,0.9975,consistent,0.99916,0.99832,0.99917,0.99835,0.99583,0.99583,F3,10,322371,328.1,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.24336,0.2066,1,0.33477,0.86556,0.8856,0.1653,0.4428,0.35615,0.23855,0.15041,0.10694,0.25076,0.24809,0.23133,0.82778,0.78222,0.04556,0.00028,0.7825,consistent,0.883,0.82323,0.80446,0.75413,0.79667,0.77,0.91833,0.88694,0.03139,0.0,0.88694,consistent,0.94444,0.91077,0.90512,0.86386,0.90583,0.88667,0.96,0.94361,0.01639,0.0,0.94361,consistent,0.98064,0.96212,0.95462,0.92904,0.945,0.94,0.99722,0.99722,0.0,0.0,0.99722,consistent,0.99916,0.99916,0.99752,0.99752,0.995,0.995,F3,14,321171,316.4,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.03571,0.32917,0.20009,0,0.38549,0.90528,1.31904,0.24811,0.65952,0.48643,0.28968,0.17994,0.11137,0.55866,0.22618,0.20601,0.865,0.79083,0.07417,0.0,0.79083,consistent,0.90825,0.79461,0.86139,0.79208,0.82583,0.78583,0.93944,0.90333,0.03611,0.0,0.90333,consistent,0.96044,0.90404,0.94142,0.90182,0.91667,0.90417,0.96778,0.95333,0.01444,0.0,0.95333,consistent,0.97896,0.96044,0.9703,0.9571,0.95417,0.9425,0.9975,0.99639,0.00111,0.0,0.99639,consistent,0.99747,0.99663,0.99917,0.99835,0.99583,0.99417,F4,7,348471,345.3,1000,True,0.0
