method,fold,P,sp_mean,sp_median,sp_excluded,wape_median,interval80,mase_median_fc,sp_0.1,sp_0.5,sp_0.8,sp_0.9,sp_0.95,sp_0.99,sp_low,sp_mid,sp_high,cov_hi_0.8,cov_lo_0.8,tie_0.8,zero_share_0.8,raw_cov_0.8,status_0.8,cov_hi_0.8_low,cov_lo_0.8_low,cov_hi_0.8_mid,cov_lo_0.8_mid,cov_hi_0.8_high,cov_lo_0.8_high,cov_hi_0.9,cov_lo_0.9,tie_0.9,zero_share_0.9,raw_cov_0.9,status_0.9,cov_hi_0.9_low,cov_lo_0.9_low,cov_hi_0.9_mid,cov_lo_0.9_mid,cov_hi_0.9_high,cov_lo_0.9_high,cov_hi_0.95,cov_lo_0.95,tie_0.95,zero_share_0.95,raw_cov_0.95,status_0.95,cov_hi_0.95_low,cov_lo_0.95_low,cov_hi_0.95_mid,cov_lo_0.95_mid,cov_hi_0.95_high,cov_lo_0.95_high,cov_hi_0.99,cov_lo_0.99,tie_0.99,zero_share_0.99,raw_cov_0.99,status_0.99,cov_hi_0.99_low,cov_lo_0.99_low,cov_hi_0.99_mid,cov_lo_0.99_mid,cov_hi_0.99_high,cov_lo_0.99_high,point_wape
quantile_model,F1,7,0.20868,0.1824,2,0.36437,0.89083,0.78146,0.14259,0.39073,0.31448,0.21574,0.13763,0.05093,0.2251,0.21304,0.18799,0.87333,0.80417,0.06917,0.00167,0.80583,consistent,0.91077,0.8367,0.87624,0.78795,0.83333,0.78833,0.93556,0.89694,0.03861,0.0,0.89694,consistent,0.96212,0.91077,0.92904,0.89109,0.91583,0.88917,0.96639,0.95139,0.015,0.0,0.95139,consistent,0.98064,0.96296,0.96287,0.94554,0.95583,0.94583,0.99639,0.995,0.00139,0.0,0.995,consistent,0.99747,0.99579,0.9967,0.99505,0.995,0.99417,
conformal,F1,7,0.209,0.18425,2,0.36437,0.9,0.78146,0.14259,0.39073,0.31435,0.21666,0.13798,0.05166,0.22517,0.21273,0.18917,0.87972,0.80806,0.07167,0.00306,0.81111,consistent,0.90993,0.82997,0.87459,0.78795,0.855,0.80667,0.94472,0.91,0.03472,0.0,0.91,consistent,0.96212,0.91246,0.93399,0.90264,0.93833,0.915,0.97139,0.955,0.01639,0.0,0.955,consistent,0.98064,0.96212,0.96452,0.94554,0.96917,0.9575,0.99639,0.99389,0.0025,0.0,0.99389,consistent,0.99747,0.99579,0.9967,0.99092,0.995,0.995,
B1_ma28,F1,7,0.34151,0.28788,2,0.39167,0.9725,0.82993,0.18258,0.41496,0.61135,0.45325,0.29395,0.09293,0.26011,0.29207,0.47252,0.95556,0.92556,0.03,0.0,0.92556,over,0.94024,0.88721,0.94884,0.91502,0.9775,0.97417,0.9725,0.95611,0.01639,0.0,0.95611,over,0.9638,0.92761,0.96865,0.9571,0.985,0.98333,0.98028,0.96667,0.01361,0.0,0.96667,consistent,0.97475,0.9436,0.97855,0.96947,0.9875,0.98667,0.98889,0.98333,0.00556,0.0,0.98333,consistent,0.9899,0.97811,0.9868,0.98185,0.99,0.99,0.39167
B2_xgb,F1,7,0.33516,0.27716,2,0.39481,0.97278,0.84783,0.1912,0.42392,0.59519,0.43605,0.27916,0.08542,0.26855,0.2817,0.45563,0.96139,0.93861,0.02278,0.0,0.93861,over,0.94865,0.90404,0.9505,0.92904,0.985,0.9825,0.97778,0.96472,0.01306,0.0,0.96472,over,0.97391,0.9436,0.97112,0.96287,0.98833,0.9875,0.98639,0.975,0.01139,0.0,0.975,consistent,0.98569,0.96044,0.98267,0.9736,0.99083,0.99083,0.99111,0.98861,0.0025,0.0,0.98861,consistent,0.99158,0.98737,0.98927,0.98597,0.9925,0.9925,0.39481
C_rf,F1,7,0.3268,0.26708,2,0.37487,0.97444,0.82273,0.18545,0.41137,0.57973,0.42644,0.27378,0.08405,0.25921,0.27627,0.44527,0.96,0.94083,0.01917,0.0,0.94083,over,0.94613,0.90152,0.94967,0.93647,0.98417,0.98417,0.97722,0.96389,0.01333,0.0,0.96389,over,0.97138,0.94108,0.97195,0.96287,0.98833,0.9875,0.98611,0.97444,0.01167,0.0,0.97444,consistent,0.98653,0.95875,0.98267,0.97525,0.98917,0.98917,0.99111,0.98833,0.00278,0.0,0.98833,consistent,0.99242,0.98569,0.9901,0.98845,0.99083,0.99083,0.37487
B2_raw,F1,7,0.33437,0.28103,2,0.38913,0.97722,0.87167,0.18718,0.43584,0.59094,0.43185,0.27629,0.08415,0.27996,0.27949,0.44424,0.96278,0.93833,0.02444,0.0,0.93833,over,0.95539,0.9133,0.94884,0.92327,0.98417,0.97833,0.97861,0.96528,0.01333,0.0,0.96528,over,0.97811,0.94781,0.9703,0.9604,0.9875,0.9875,0.98472,0.97639,0.00833,0.0,0.97639,consistent,0.98569,0.96886,0.9802,0.97195,0.98833,0.98833,0.99111,0.98722,0.00389,0.0,0.98722,consistent,0.99327,0.98485,0.98927,0.98597,0.99083,0.99083,0.38913
quantile_model,F1,10,0.2059,0.17824,2,0.33893,0.86528,0.76756,0.14595,0.38378,0.30683,0.21009,0.13554,0.05323,0.22257,0.20986,0.18537,0.86361,0.80333,0.06028,0.00222,0.80556,consistent,0.91246,0.8266,0.85644,0.7929,0.8225,0.79083,0.93028,0.90361,0.02667,0.0,0.90361,consistent,0.95286,0.91919,0.92327,0.89191,0.915,0.9,0.96694,0.95139,0.01556,0.0,0.95139,consistent,0.98316,0.96465,0.96287,0.94472,0.955,0.945,0.9975,0.99611,0.00139,0.0,0.99611,consistent,0.99832,0.99663,0.99752,0.99505,0.99667,0.99667,
conformal,F1,10,0.20667,0.17868,2,0.33893,0.87417,0.76756,0.14595,0.38378,0.30703,0.21207,0.13898,0.0522,0.22362,0.21029,0.1862,0.87306,0.81361,0.05944,0.00056,0.81417,consistent,0.91162,0.82155,0.86304,0.80446,0.845,0.815,0.93917,0.915,0.02417,0.0,0.915,consistent,0.95791,0.93098,0.92657,0.89356,0.93333,0.92083,0.97389,0.96111,0.01278,0.0,0.96111,consistent,0.98485,0.9697,0.96947,0.9538,0.9675,0.96,0.9975,0.99556,0.00194,0.0,0.99556,consistent,0.99832,0.99579,0.99752,0.99505,0.99667,0.99583,
B1_ma28,F1,10,0.35733,0.29917,2,0.36756,0.97111,0.82568,0.19406,0.41284,0.65003,0.47903,0.3101,0.09795,0.26384,0.31167,0.49647,0.95194,0.92833,0.02361,0.0,0.92833,over,0.93603,0.88131,0.94307,0.92822,0.97667,0.975,0.97111,0.95694,0.01417,0.0,0.95694,over,0.96549,0.92845,0.9637,0.95957,0.98417,0.9825,0.97778,0.96806,0.00972,0.0,0.96806,consistent,0.97391,0.95202,0.97277,0.96617,0.98667,0.98583,0.98694,0.98278,0.00417,0.0,0.98278,consistent,0.98737,0.98064,0.98432,0.97937,0.98917,0.98833,0.36756
B2_xgb,F1,10,0.35392,0.29092,2,0.37388,0.97167,0.84879,0.20173,0.42439,0.6398,0.46757,0.29937,0.09068,0.26985,0.29814,0.49406,0.965,0.94306,0.02194,0.0,0.94306,over,0.95623,0.90572,0.95462,0.93977,0.98417,0.98333,0.97889,0.96972,0.00917,0.0,0.96972,over,0.97643,0.95539,0.97195,0.96535,0.98833,0.98833,0.98472,0.97833,0.00639,0.0,0.97833,consistent,0.98316,0.97391,0.98102,0.97277,0.99,0.98833,0.99194,0.98861,0.00333,0.0,0.98861,consistent,0.99411,0.98822,0.98927,0.9868,0.9925,0.99083,0.37388
C_rf,F1,10,0.33986,0.27589,2,0.35118,0.97222,0.82423,0.19848,0.41212,0.60913,0.44593,0.28582,0.08766,0.26604,0.2916,0.46215,0.96389,0.94583,0.01806,0.0,0.94583,over,0.95286,0.91077,0.95627,0.94472,0.9825,0.98167,0.97944,0.96833,0.01111,0.0,0.96833,over,0.97643,0.95455,0.97607,0.96452,0.98583,0.98583,0.98389,0.97833,0.00556,0.0,0.97833,consistent,0.98401,0.97138,0.98102,0.9769,0.98667,0.98667,0.99194,0.98889,0.00306,0.0,0.98889,consistent,0.99327,0.98822,0.9901,0.98762,0.9925,0.99083,0.35118
B2_raw,F1,10,0.33909,0.28043,2,0.35374,0.97222,0.82609,0.19754,0.41304,0.60497,0.44489,0.28618,0.08795,0.26579,0.28722,0.46458,0.95833,0.93556,0.02278,0.0,0.93556,over,0.94949,0.89226,0.94389,0.93317,0.98167,0.98083,0.975,0.96028,0.01472,0.0,0.96028,over,0.97138,0.93939,0.96782,0.95627,0.98583,0.985,0.98222,0.97472,0.0075,0.0,0.97472,consistent,0.98148,0.9697,0.97855,0.96782,0.98667,0.98667,0.99083,0.98722,0.00361,0.0,0.98722,consistent,0.99327,0.98737,0.98762,0.98267,0.99167,0.99167,0.35374
quantile_model,F1,14,0.21686,0.18722,2,0.31211,0.84278,0.80619,0.15625,0.40309,0.32356,0.21956,0.14217,0.05651,0.22724,0.22677,0.19646,0.84167,0.7975,0.04417,0.00056,0.79806,consistent,0.89141,0.82912,0.82673,0.78053,0.8075,0.78333,0.91167,0.89028,0.02139,0.0,0.89028,consistent,0.94276,0.91919,0.89851,0.87624,0.89417,0.87583,0.95833,0.94222,0.01611,0.0,0.94222,consistent,0.97896,0.95707,0.94884,0.93482,0.9475,0.935,0.99583,0.99389,0.00194,0.0,0.99389,consistent,0.99832,0.99495,0.99422,0.99175,0.995,0.995,
conformal,F1,14,0.21777,0.18758,2,0.31212,0.86556,0.80623,0.15625,0.40312,0.32348,0.22135,0.14577,0.05665,0.22836,0.226,0.19889,0.8575,0.81389,0.04361,0.00139,0.81528,consistent,0.88552,0.81818,0.85149,0.80611,0.83583,0.8175,0.93444,0.9125,0.02194,0.0,0.9125,consistent,0.9537,0.93182,0.92409,0.89439,0.92583,0.91167,0.96833,0.95667,0.01167,0.0,0.95667,consistent,0.98485,0.96886,0.9571,0.94472,0.96333,0.95667,0.99361,0.99139,0.00222,0.0,0.99139,consistent,0.99663,0.99495,0.98927,0.98432,0.995,0.995,
B1_ma28,F1,14,0.39401,0.32627,2,0.33658,0.96611,0.85569,0.2245,0.42785,0.71815,0.53477,0.34775,0.11103,0.27129,0.34351,0.56701,0.94056,0.92222,0.01833,0.0,0.92222,over,0.91667,0.87879,0.93234,0.91502,0.9725,0.9725,0.96611,0.95306,0.01306,0.0,0.95306,over,0.95455,0.9234,0.9637,0.95545,0.98,0.98,0.97444,0.96417,0.01028,0.0,0.96417,consistent,0.9697,0.94529,0.97112,0.96535,0.9825,0.98167,0.98472,0.98028,0.00444,0.0,0.98028,consistent,0.98737,0.97896,0.9802,0.9769,0.98667,0.985,0.33658
B2_xgb,F1,14,0.37689,0.30483,2,0.3591,0.95778,0.90643,0.23393,0.45321,0.67008,0.49046,0.31538,0.09826,0.28053,0.31211,0.53836,0.95278,0.93583,0.01694,0.0,0.93583,over,0.9436,0.91077,0.93399,0.91832,0.98083,0.97833,0.97333,0.96194,0.01139,0.0,0.96194,over,0.97306,0.94949,0.96205,0.95215,0.985,0.98417,0.98194,0.97417,0.00778,0.0,0.97417,consistent,0.98232,0.96633,0.97525,0.96782,0.98833,0.98833,0.98861,0.98611,0.0025,0.0,0.98611,consistent,0.99074,0.98653,0.98432,0.98102,0.99083,0.99083,0.3591
C_rf,F1,14,0.36507,0.3034,2,0.32317,0.96333,0.85617,0.22916,0.42808,0.65094,0.47847,0.30814,0.09563,0.27005,0.31112,0.51418,0.95306,0.93722,0.01583,0.0,0.93722,over,0.94192,0.90741,0.94059,0.92822,0.97667,0.97583,0.97472,0.96278,0.01194,0.0,0.96278,over,0.97138,0.94781,0.9703,0.95875,0.9825,0.98167,0.98194,0.975,0.00694,0.0,0.975,consistent,0.98232,0.97138,0.97772,0.96865,0.98583,0.985,0.98972,0.98667,0.00306,0.0,0.98667,consistent,0.99158,0.98653,0.9868,0.98267,0.99083,0.99083,0.32317
B2_raw,F1,14,0.37137,0.30848,2,0.32927,0.96361,0.88532,0.23007,0.44266,0.66154,0.48551,0.31227,0.09619,0.28207,0.31166,0.5207,0.95139,0.93389,0.0175,0.0,0.93389,over,0.94276,0.90572,0.93564,0.92079,0.97583,0.975,0.97361,0.96167,0.01194,0.0,0.96167,over,0.97475,0.95286,0.9637,0.9505,0.9825,0.98167,0.98139,0.97528,0.00611,0.0,0.97528,consistent,0.98316,0.97222,0.97607,0.96947,0.985,0.98417,0.98861,0.98528,0.00333,0.0,0.98528,consistent,0.99242,0.98653,0.98267,0.97937,0.99083,0.99,0.32927
